par, sync
0.02, 0.497143
0.05, 0.459048
0.08, 0.431111
0.11, 0.395556
0.14, 0.423492
0.17, 0.354921
0.2, 0.413333
0.23, 0.339683
0.26, 0.372698
0.29, 0.318095
0.32, 0.263492
0.35, 0.27873
0.38, 0.235556
0.41, 0.249524
0.44, 0.231746
0.47, 0.243175
0.5, 0.230476
0.53, 0.215238
0.56, 0.217778
0.59, 0.184762
0.62, 0.19746
0.65, 0.215238
0.68, 0.227937
0.71, 0.230476
0.74, 0.224127
0.77, 0.206349
0.8, 0.208889
0.83, 0.210159
0.86, 0.206349
0.89, 0.216508
0.92, 0.208889
0.95, 0.187302
0.98, 0.19873
