0.02	0.497143	0.142394
0.05	0.459048	0.116173
0.08	0.431111	0.0899199
0.11	0.395556	0.0890369
0.14	0.423492	0.0826601
0.17	0.354921	0.0793151
0.2	0.413333	0.129017
0.23	0.339683	0.0717956
0.26	0.372698	0.0779756
0.29	0.318095	0.0532627
0.32	0.263492	0.0570157
0.35	0.27873	0.0253651
0.38	0.235556	0.0500206
0.41	0.249524	0.0307309
0.44	0.231746	0.0431995
0.47	0.243175	0.0427618
0.5	0.230476	0.0351297
0.53	0.215238	0.0215997
0.56	0.217778	0.0518307
0.59	0.184762	0.019686
0.62	0.19746	0.0306696
0.65	0.215238	0.0588984
0.68	0.227937	0.0565519
0.71	0.230476	0.0245357
0.74	0.224127	0.026024
0.77	0.206349	0.0376125
0.8	0.208889	0.013578
0.83	0.210159	0.0157583
0.86	0.206349	0.0182992
0.89	0.216508	0.025879
0.92	0.208889	0.022951
0.95	0.187302	0.0275685
0.98	0.19873	0.0165729
